seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,19,20,0.7976,71.67,70.52
[38042],1,baseline,27,20,7,27,0.0001,0.15,256,0.0,20,20,0.7835,72.07,70.51
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,1,20,2.0774,22.61,27.81
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,2,20,1.8527,31.22,32.64
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,3,20,1.7529,35.15,36.28
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,4,20,1.6696,38.44,39.79
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,5,20,1.5435,43.97,44.76
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,6,20,1.4101,48.77,48.33
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,7,20,1.3078,52.55,51.66
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,8,20,1.2289,55.53,55.78
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,9,20,1.1711,57.74,59.03
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,10,20,1.1159,59.96,58.93
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,11,20,1.0732,61.62,62.93
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,12,20,1.0348,62.93,63.5
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,13,20,0.9974,64.38,63.75
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,14,20,0.9642,65.34,66.17
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,15,20,0.9359,66.49,67.28
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,16,20,0.9098,67.61,67.88
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,17,20,0.8847,68.41,68.63
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,18,20,0.8691,69.13,68.61
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,19,20,0.8504,69.8,68.55
[38042],1,baseline,27,20,8,27,0.0001,0.15,256,0.1,20,20,0.841,70.16,68.53
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,1,20,2.0685,22.95,27.04
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,2,20,1.8727,30.6,31.18
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,3,20,1.7563,34.92,36.84
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,4,20,1.656,39.26,40.9
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,5,20,1.5366,44.03,45.08
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,6,20,1.4212,48.52,48.17
