seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,31,70,3,64,1.6694507598876953,34.901264905929565,1.3871512413024902,0.6811,75.95,73.5,0.000178,0.000172,0.000172,64,0.15,0.079,5.0
38042,31,70,4,128,1.6900842189788818,17.333831548690796,1.3715801239013672,0.7303,74.1,73.22,0.000242,0.000234,0.000234,128,0.118,0.127,5.0
38042,32,70,0,64,1.6736457347869873,34.424115896224976,1.3685433864593506,0.7229,74.33,72.89,0.000124,0.00012,0.00012,64,,,
38042,32,70,1,256,1.6840198040008545,10.37574553489685,1.378917932510376,0.6192,78.06,75.08,7.92e-05,0.000158,0.000158,256,0.15,0.101,5.0
38042,32,70,2,256,1.6794378757476807,10.093145370483398,1.418860912322998,0.6676,76.31,73.86,0.000305,0.000294,0.000294,256,0.13,0.106,5.0
38042,32,70,3,64,1.6893932819366455,36.15886831283569,1.377124309539795,0.6637,76.5,73.82,0.000172,0.000166,0.000166,64,0.15,0.079,5.0
38042,32,70,4,128,1.6697895526885986,17.5310800075531,1.3729281425476074,0.7162,74.66,73.55,0.000234,0.000225,0.000225,128,0.118,0.127,5.0
38042,33,70,0,64,1.6839885711669922,33.5204598903656,1.3933212757110596,0.7121,74.8,73.63,0.00012,0.000116,0.000116,64,,,
38042,33,70,1,256,1.6741058826446533,10.230417013168335,1.3729372024536133,0.6268,78.09,75.31,0.000158,0.000237,0.000237,256,0.15,0.101,5.0
38042,33,70,2,256,1.6838860511779785,10.27980923652649,1.3931987285614014,0.66,76.67,74.22,0.000294,0.000283,0.000283,256,0.13,0.106,5.0
38042,33,70,3,64,1.6750316619873047,33.003199100494385,1.3588871955871582,0.645,77.08,74.49,0.000166,0.00016,0.00016,64,0.15,0.079,5.0
38042,33,70,4,128,1.6797447204589844,17.758715867996216,1.3898367881774902,0.7015,75.18,73.22,0.000225,0.000217,0.000217,128,0.118,0.127,5.0
38042,34,70,0,64,1.6786513328552246,34.74386930465698,1.4188287258148193,0.6978,75.35,73.63,0.000116,0.000111,0.000111,64,,,
38042,34,70,1,256,1.68644380569458,9.919620513916016,1.431795597076416,0.6492,77.03,72.99,0.000237,0.000316,0.000316,256,0.15,0.101,5.0
38042,34,70,2,256,1.6703829765319824,9.962244987487793,1.384390115737915,0.6428,77.16,74.31,0.000283,0.000272,0.000272,256,0.13,0.106,5.0
38042,34,70,3,64,1.6845364570617676,34.28319478034973,1.3759090900421143,0.631,77.67,74.3,0.00016,0.000154,0.000154,64,0.15,0.079,5.0
38042,34,70,4,128,1.6769404411315918,17.709784507751465,1.3591563701629639,0.6832,75.97,73.58,0.000217,0.000209,0.000209,128,0.118,0.127,5.0
38042,35,70,0,64,1.6863367557525635,34.84736394882202,1.3762140274047852,0.687,75.65,74.28,0.000111,0.000107,0.000107,64,,,
38042,35,70,1,256,1.670764684677124,9.99271559715271,1.3697268962860107,0.6734,76.37,72.97,0.000316,0.000394,0.000394,256,0.15,0.101,5.0
38042,35,70,2,256,1.6785995960235596,10.334412813186646,1.3735902309417725,0.618,78.03,75.34,0.000272,0.000261,0.000261,256,0.13,0.106,5.0
